image_url,id,Категория,Сезон,Материал подошвы,Материал верха,Цвет
https://a.lmcdn.ru/img600x866/R/T/RTLABZ840601_18063861_3_v1.jpg,RTLABZ840601,Челси,Не указано,термоэластопласт,натуральная замша,черный
https://a.lmcdn.ru/img600x866/R/T/RTLABZ840601_18063862_4_v1.jpg,RTLABZ840601,Челси,Не указано,термоэластопласт,натуральная замша,черный
https://a.lmcdn.ru/img600x866/R/T/RTLABZ840601_18063863_5_v1.jpg,RTLABZ840601,Челси,Не указано,термоэластопласт,натуральная замша,черный
https://a.lmcdn.ru/img600x866/R/T/RTLABZ841901_18064982_1_v1.jpg,RTLABZ841901,Челси,Не указано,термопластичная резина,натуральная замша,коричневый
https://a.lmcdn.ru/img600x866/R/T/RTLABZ841901_18064983_2_v1.jpg,RTLABZ841901,Челси,Не указано,термопластичная резина,натуральная замша,коричневый
https://a.lmcdn.ru/img600x866/R/T/RTLABZ841901_18064984_3_v1.jpg,RTLABZ841901,Челси,Не указано,термопластичная резина,натуральная замша,коричневый
https://a.lmcdn.ru/img600x866/R/T/RTLABZ841901_18064985_4_v1.jpg,RTLABZ841901,Челси,Не указано,термопластичная резина,натуральная замша,коричневый
https://a.lmcdn.ru/img600x866/R/T/RTLABZ841901_18064986_5_v1.jpg,RTLABZ841901,Челси,Не указано,термопластичная резина,натуральная замша,коричневый
https://a.lmcdn.ru/img600x866/R/T/RTLABZ841901_18064987_6_v1.jpg,RTLABZ841901,Челси,Не указано,термопластичная резина,натуральная замша,коричневый
https://a.lmcdn.ru/img600x866/R/T/RTLADJ379901_24199961_1_v1.jpg,RTLADJ379901,Ботинки,мульти,Не указано,Не указано,черный
https://a.lmcdn.ru/img600x866/R/T/RTLADJ379901_24199962_2_v1.jpg,RTLADJ379901,Ботинки,мульти,Не указано,Не указано,черный
https://a.lmcdn.ru/img600x866/R/T/RTLADJ379901_24199963_3_v1.jpg,RTLADJ379901,Ботинки,мульти,Не указано,Не указано,черный
https://a.lmcdn.ru/img600x866/R/T/RTLADJ379901_24199964_4_v1.jpg,RTLADJ379901,Ботинки,мульти,Не указано,Не указано,черный
https://a.lmcdn.ru/img600x866/R/T/RTLADJ379901_24199965_5_v1.jpg,RTLADJ379901,Ботинки,мульти,Не указано,Не указано,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0B4W6_21071911_1_v1.jpg,MP002XM0B4W6,Ботинки,демисезон,термопластичная резина,"искусственная кожа, полиэстер",черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0B4W6_21071912_2_v1.jpg,MP002XM0B4W6,Ботинки,демисезон,термопластичная резина,"искусственная кожа, полиэстер",черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0B4W6_21071913_3_v1.jpg,MP002XM0B4W6,Ботинки,демисезон,термопластичная резина,"искусственная кожа, полиэстер",черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0B4W6_21071914_4_v1.jpg,MP002XM0B4W6,Ботинки,демисезон,термопластичная резина,"искусственная кожа, полиэстер",черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0B4W6_21071915_5_v1.jpg,MP002XM0B4W6,Ботинки,демисезон,термопластичная резина,"искусственная кожа, полиэстер",черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM1HU4Y_15943223_1_v1.jpg,MP002XM1HU4Y,Высокие ботинки,зима,термоэластопласт,натуральная кожа,черный
